,"Hartford, CT","Bridgeport, CT","New Haven, CT","Norwich, CT","Torrington, CT"
2021-09-30,289364.73075460334,551628.8555533226,299985.4394106987,305412.7378030236,317432.3829114837
2021-10-31,288523.9570970063,550564.0416686229,299058.448492287,304881.9698075066,315561.2351646971
2021-11-30,288495.5357257533,551633.0930191906,299073.2077072626,304930.1602210628,314618.5941904621
2021-12-31,289749.12453591125,554873.9875734485,300692.67031408846,306092.9286946868,315279.6455746041
2022-01-31,292935.8094035101,561504.7090020092,304649.57122479024,309106.36970898416,318969.2255720755
2022-02-28,297753.6556266541,570104.4456312234,310149.28519932204,313727.75477892166,324854.804194399
2022-03-31,303602.35108459863,580531.8906880878,316389.19522120146,319597.5746143319,332505.82899293164
2022-04-30,309052.2001204814,590628.2888042295,322102.6542711036,325119.5809449167,339757.0465275759
2022-05-31,314162.69337504054,600473.0580416763,327149.84096590267,330185.22591997293,346240.5467678949
2022-06-30,318646.00309791666,608936.7458385524,331579.01179249614,334293.13889468275,351280.1711668319
2022-07-31,321682.6507309755,614172.2556032607,334305.13972108375,336677.3424524329,354017.9828489422
2022-08-31,322313.1235540639,614901.34385021,335051.2938563016,336990.83901599,354246.76851352205
2022-09-30,321378.8115619952,612429.8054090518,334367.82658884994,336096.7303031626,353104.4984947652
2022-10-31,320543.8934374152,609960.2190009626,333855.7512776505,335427.56171128823,352288.089834233
2022-11-30,320952.8237195477,608768.0263053044,334227.3461223896,335618.1700543883,352226.24785837665
2022-12-31,321856.14276009664,608644.658267356,335021.5842638039,335985.2815244046,352392.15486864466
2023-01-31,322516.58322320954,608120.7016020947,335344.0939047391,336392.5871235645,352495.0143855465
2023-02-28,323616.18107412325,608672.61045425,336301.8326470374,337400.7685183569,353295.263343777
2023-03-31,325655.2068633174,610237.1844488163,337939.68017104245,339520.22513973323,355035.6590296572
2023-04-30,328931.33137372375,614862.3106940779,340934.69551278464,342761.6151299948,358058.27186910436
2023-05-31,332488.01691896917,620511.6664062544,344249.7396505296,346320.9848474408,361425.4075902106
2023-06-30,336433.33922980184,627760.6714991784,347875.19918209006,350447.6735587356,365272.00355291046
2023-07-31,340919.32452730736,635467.8564830617,352096.6116124506,355150.13890543935,369697.1667596859
2023-08-31,345730.52839588304,643813.5408907946,356566.9957036418,360118.17706241366,374637.4034442099
2023-09-30,350033.326392029,652175.8074801667,360855.3691646407,364192.4182560413,379237.7594924312
2023-10-31,353256.8075322251,659197.6013699159,364198.1642708769,366761.468291287,382442.1246926317
2023-11-30,355512.643318051,665260.0844105369,366863.5580692256,368319.7275736397,384992.5400119696
2023-12-31,357506.9247385766,669493.1267666953,368994.70947933354,369816.9049330536,387288.4489646645
2024-01-31,359232.63577952865,672685.3119554287,370693.5815233122,371211.6905333365,389218.639395239
2024-02-29,361646.6410366073,676470.9753099025,372650.6352330463,373279.9362574167,391501.0443200203
