,interest,vacancy,inflation,price,value,adj_price,adj_value,next_quarter,increase,interest_ratio,vacancy_ratio,price_ratio,value_ratio,inflation_ratio
2010-04-17,5.07,10.6,217.403,225000.0,244818.3455314582,103494.43199955842,112610.38050599956,110291.5833735438,1,1.00602915362894,0.9860465116279071,1.0162497465890055,1.000789090724919,1.0066828686397076
2010-04-24,5.07,10.6,217.403,210000.0,244818.3455314582,96594.80319958787,112610.38050599956,98802.876772133,1,1.0050703366246045,0.9860465116279069,0.9515371333009416,1.0013608513479653,1.0062622601138875
2010-05-01,5.06,10.6,217.403,226250.0,244826.8540454087,104069.40106622265,112614.2942118594,114887.06601410813,1,1.0020946795140342,0.9860465116279069,1.025324334532697,1.001967416272391,1.005842002915485
2010-05-08,5.0,10.6,217.29,224300.0,244826.8540454087,103226.10336416772,112672.8584129084,114719.41924441201,1,0.989383157654401,0.9860465116279069,1.0169038157694896,1.0023436356211943,1.004909605467936
2010-05-15,4.93,10.6,217.29,225000.0,244826.8540454087,103548.25348612454,112672.8584129084,115751.89401761172,1,0.9751978088861838,0.9860465116279069,1.0207804730453756,1.002720137602271,1.0045283022222775
2010-05-22,4.84,10.6,217.29,232000.0,244826.8540454087,106769.75470569287,112672.8584129084,123896.97278396497,1,0.9574678536102867,0.9860465116279071,1.0528136497150056,1.0030969225342288,1.0041472882305333
2010-05-29,4.78,10.6,217.29,221000.0,244826.8540454087,101707.39564637121,112672.8584129084,114719.41924441201,1,0.945742333155772,0.9860465116279069,1.0034649753875153,1.0034739907361554,1.0037665631636892
2010-06-05,4.79,10.6,217.199,215000.0,246892.93460992267,98987.56439946777,113671.3035556898,103080.97583323788,1,0.9481537875904075,0.9860465116279069,0.9752635479634263,1.0121578965337843,1.0029740184984128
2010-06-12,4.72,10.6,217.199,261000.0,246892.93460992267,120166.2991081911,113671.3035556898,96208.9107776887,0,0.9363293022546064,0.9860465116279069,1.1810398720174653,1.012209539922815,1.0027595013063262
2010-06-19,4.75,10.6,217.199,245000.0,246892.93460992267,112799.78268776558,113671.3035556898,104226.32000916277,0,0.9453098090244558,0.9860465116279069,1.1043145587145153,1.0122611885821218,1.002545075856966
